"Product ID","Product Name",total_sales
TEC-CO-10004722,"Canon imageCLASS 2200 Advanced Copier",61599.82
OFF-BI-10003527,"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",27453.38
TEC-MA-10002412,"Cisco TelePresence System EX90 Videoconferencing Unit",22638.48
FUR-CH-10002024,"HON 5400 Series Task Chairs for Big and Tall",21870.58
OFF-BI-10001359,"GBC DocuBind TL300 Electric Binding System",19823.48
OFF-BI-10000545,"GBC Ibimaster 500 Manual ProClick Binding System",19024.5
TEC-CO-10001449,"Hewlett Packard LaserJet 3310 Copier",18839.69
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24" Color"",18374.9
OFF-BI-10004995,"GBC DocuBind P400 Electric Binding System",17965.07
OFF-SU-10000151,"High Speed Automatic Electric Letter Opener",17030.31
