sales_year,sales_month,total_sales
2014,1,14161.35
2014,2,4119.82
2014,3,55526.2
2014,4,28139.56
2014,5,23634.67
2014,6,34509
2014,7,33500.87
2014,8,27603.51
2014,9,81496.81
2014,10,31394.94
2014,11,78297.24
2014,12,69379.84
2015,1,18085.12
2015,2,11924.27
2015,3,38621.29
2015,4,32640.48
2015,5,29325.97
2015,6,24659.68
2015,7,28524.52
2015,8,36380.93
2015,9,63704.3
2015,10,31382.16
2015,11,74699.03
2015,12,74478.48
2016,1,18432.59
2016,2,22706.42
2016,3,50832.55
2016,4,38587.14
2016,5,56457.32
2016,6,39628.19
2016,7,39108.01
2016,8,31014.4
2016,9,71848.25
2016,10,58120.42
2016,11,78454.9
2016,12,96075.07
2017,1,43860.29
2017,2,20262.32
2017,3,58739.22
2017,4,36020.17
2017,5,44095.35
2017,6,52242.56
2017,7,44490.45
2017,8,62643.41
2017,9,86487.31
2017,10,77542.48
2017,11,117383.38
2017,12,81227.62
